ind,category,text_clean
0,COMMUNAL,житель многоквартирный дом обращаться управлять организация
1,COMMUNAL,норматив объём потребление коммунальный услуга
2,COMMUNAL,жалоба качество предоставление коммунальный услуга
3,COMMUNAL,отсутствие перерыв предоставление коммунальный услуга далее
4,COMMUNAL,рамка обязательный работа перечень услуга
5,COMMUNAL,который решаться протяжение длительный период время
6,COMMUNAL,перерасчёт размер плата жилищно-коммунальный услуга
7,COMMUNAL,предоставить ненадлежащий качество перерыв
8,COMMUNAL,вследствие неправильный начисление плата жилищно-коммунальный услуга
9,COMMUNAL,также водоотведение канализация осуществляться
10,COMMUNAL,исходить показание общедомовый прибор учёт
11,COMMUNAL,установленный вход дом
12,COMMUNAL,общий объём получить ресурс распределяться собственник учёт показание индивидуальный счётчик
13,COMMUNAL,квартира такой счётчик
14,COMMUNAL,тепло далее распределяться плательщик
15,COMMUNAL,исходить площадь квартира норматив потребление
16,COMMUNAL,зависимость количество жилец каждый квартира
17,COMMUNAL,начинаться завершаться отопительный сезон
18,COMMUNAL,среднесуточный температура течение пять сутки подряд подниматься выше
19,COMMUNAL,срок начало окончание отопительный сезон устанавливать уполномоченный орган правило
20,COMMUNAL,муниципалитет основание дать среднесуточный температура
21,COMMUNAL,отличаться тариф потреблять услуга тсж
22,COMMUNAL,также потреблять горячий холодный вода
23,COMMUNAL,тепло водоотведение единый собственник жильё
24,COMMUNAL,независимо выбрать форма управление многоквартирный дом
25,COMMUNAL,проживать квартира основание договор социальный найм
26,COMMUNAL,пускать пускать квартира поставщик услуга либо представитель
27,COMMUNAL,идеальный вариант показание внутриквартирный счётчик снимать представитель управлять организация электросеть
28,COMMUNAL,практика это частый делать сам жилец
29,COMMUNAL,поставлять организация возникать сомнение правильность оплата
30,COMMUNAL,дом смочь показать прибор учёт
31,COMMUNAL,такой предупреждение жилец обязать предоставить доступ свой прибор учёт
32,COMMUNAL,счётчик выйти строй находиться ремонт
33,COMMUNAL,внутриквартирный прибор учёт течение день
34,COMMUNAL,- время фактический работа
35,COMMUNAL,электричество газ квартира прибор учёт
36,COMMUNAL,перерасчёт должный сделать течение пять день
37,COMMUNAL,справка лечение стационар больница
38,COMMUNAL,общежитие друг место временной пребывание так далее
39,COMMUNAL,жилец фактически проживать другой адрес
40,COMMUNAL,случай необходимый представить документ
41,COMMUNAL,квитанция оплата коммунальный услуга место свой фактический проживание
42,COMMUNAL,грозить самовольный подключение энергоресурсы обход прибор учёт
43,COMMUNAL,обнаружиться несанкционированный подключение система водый теплоснабжение
44,COMMUNAL,соответствие тариф
45,COMMUNAL,должный предупреждать изменение плата коммунальный услуга
46,COMMUNAL,иметь право скидка получать льгота натуральный вид
47,COMMUNAL,расчёт оплата коммунальный услуга размер уменьшаться величина скидка
48,COMMUNAL,льготник получать денежный компенсация свой льгота например банковский счёт
49,COMMUNAL,какой случай мочь отключить вода
50,COMMUNAL,иметься долг оплата один несколько услуга
51,COMMUNAL,обнаружить самовольный подключение инженерный сеть
52,COMMUNAL,жилец использовать мощный разрешить технический паспорт жилой помещение
53,COMMUNAL,запрещаться отключать вид услуга отопление
54,COMMUNAL,временной отключение услуга допускаться проведение ремонт инженерный сеть дом
55,COMMUNAL,сначала нарушитель должный направить письменный уведомление
56,COMMUNAL,течение месяц долг быть погасить
57,COMMUNAL,предоставление коммунальный услуга ограничить прекратить
58,COMMUNAL,газ горячий вода мочь отключить момент
59,COMMUNAL,пока потребитель вернуть невыплаченный сумма
60,COMMUNAL,вновь должный подключить течение два день возвращение задолженность
61,COMMUNAL,квитанция оплата коммунальный услуга обязательно указываться
62,COMMUNAL,расчёт оплата каждый вид услуга должный вноситься квитанция отдельный строка
63,COMMUNAL,сведение предоставление субсидия льгота
64,COMMUNAL,квартира проживать временной жилец
65,COMMUNAL,размер неустойка штраф нарушение потребитель условие договор указываться отдельный документ
66,COMMUNAL,формирование реализация муниципальный политика область жилищно-коммунальный хозяйство
67,COMMUNAL,обеспечение разработка план развитие город направление
68,COMMUNAL,изучение анализ социально-экономический развитие жилищно-коммунальный хозяйство
69,COMMUNAL,обеспечение гарантия право гражданин жильё соответствие действовать жилищный законодательство
70,COMMUNAL,программа энергосбережение установка прибор учёт
71,COMMUNAL,разработка целевой программа обновление сохранность жилищный фонд
72,COMMUNAL,осуществление учёт освобождаться муниципальный жилищный фонд
73,COMMUNAL,обеспечение принятие решение предоставление жилой помещение муниципальный специализированный жилищный фонд
74,COMMUNAL,заключение договор найм жилой помещение муниципальный специализированный жилищный фонд
75,COMMUNAL,уполномоченный устанавливать технический состояние многоквартирный дом
76,COMMUNAL,являться объект открытый конкурс отбор управлять организация управление многоквартирный дом
77,COMMUNAL,организация содержание капитальный ремонт муниципальный жилищный фонд
78,COMMUNAL,создание условие управление многоквартирный дом территория муниципальный образование город калуга
79,COMMUNAL,компенсация часть платёж ипотечный кредит привлечь работник бюджетный сфера
80,COMMUNAL,утверждать городской управа город калуга
81,COMMUNAL,дата время приём заблаговременно доводиться сведение гражданин
82,COMMUNAL,также побывать ранее личный приём
83,COMMUNAL,председатель комитет организация текущий капитальный ремонт
